test_case,grid_size,num_searches_factor,random_seed,image_type,serial_image,parallel_image,serial_hash,parallel_hash,hash_match,total_pixels,different_pixels,percent_different,max_difference,avg_difference,error,diff_visualization
g275_f0.4_s60,275,0.4,60,search,q1/images/DungeonHunter_serial_g275_f0.4_s60_search.png,q1/images/DungeonHunterParallel_parallel_g275_f0.4_s60_search.png,856d776d187c888f3c626111d197276e,856d776d187c888f3c626111d197276e,True,,,,,,,
g275_f0.4_s60,275,0.4,60,path,q1/images/DungeonHunter_serial_g275_f0.4_s60_path.png,q1/images/DungeonHunterParallel_parallel_g275_f0.4_s60_path.png,a7dfec2657886a2496c3cde625c92a77,a7dfec2657886a2496c3cde625c92a77,True,,,,,,,
g315_f0.1_s3,315,0.1,3,search,q1/images/DungeonHunter_serial_g315_f0.1_s3_search.png,q1/images/DungeonHunterParallel_parallel_g315_f0.1_s3_search.png,7fcd604c6702454dbecf5e4393379e68,7fcd604c6702454dbecf5e4393379e68,True,,,,,,,
g315_f0.1_s3,315,0.1,3,path,q1/images/DungeonHunter_serial_g315_f0.1_s3_path.png,q1/images/DungeonHunterParallel_parallel_g315_f0.1_s3_path.png,462c534a6ce4b545d85eb11bbf09d1f8,462c534a6ce4b545d85eb11bbf09d1f8,True,,,,,,,
g315_f0.1_s60,315,0.1,60,search,q1/images/DungeonHunter_serial_g315_f0.1_s60_search.png,q1/images/DungeonHunterParallel_parallel_g315_f0.1_s60_search.png,170946ce63e0fc889aa3a592cdb74b0a,170946ce63e0fc889aa3a592cdb74b0a,True,,,,,,,
g315_f0.1_s60,315,0.1,60,path,q1/images/DungeonHunter_serial_g315_f0.1_s60_path.png,q1/images/DungeonHunterParallel_parallel_g315_f0.1_s60_path.png,f334cdc6d55cd8c5fc8e18db0d4b1e22,f334cdc6d55cd8c5fc8e18db0d4b1e22,True,,,,,,,
g315_f0.4_s3,315,0.4,3,search,q1/images/DungeonHunter_serial_g315_f0.4_s3_search.png,q1/images/DungeonHunterParallel_parallel_g315_f0.4_s3_search.png,086f51f0678e4de2b128b3ed508098ca,086f51f0678e4de2b128b3ed508098ca,True,,,,,,,
g315_f0.4_s3,315,0.4,3,path,q1/images/DungeonHunter_serial_g315_f0.4_s3_path.png,q1/images/DungeonHunterParallel_parallel_g315_f0.4_s3_path.png,69dc1188e0e355023b4ff1d1e3e6ebb4,69dc1188e0e355023b4ff1d1e3e6ebb4,True,,,,,,,
g315_f0.4_s60,315,0.4,60,search,q1/images/DungeonHunter_serial_g315_f0.4_s60_search.png,q1/images/DungeonHunterParallel_parallel_g315_f0.4_s60_search.png,50080a337533ec3bdce97823a7465db7,50080a337533ec3bdce97823a7465db7,True,,,,,,,
g315_f0.4_s60,315,0.4,60,path,q1/images/DungeonHunter_serial_g315_f0.4_s60_path.png,q1/images/DungeonHunterParallel_parallel_g315_f0.4_s60_path.png,ebf0ae565a4d3922b226f1234cbe53ae,ebf0ae565a4d3922b226f1234cbe53ae,True,,,,,,,
